Product title,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
Waifu Kuji ($29.99),Kuji,9,269.91,0.0,0.0,269.91,20.88,290.79
Shonen JUMP Kuji (29.99),Kuji,6,179.94,0.0,0.0,179.94,13.92,193.86
Ichiban Kuji - Hololive vol.5,Kuji,9,162.0,-9.0,0.0,153.0,11.86,164.86
Sakamoto Days - Sakamoto Taro - Bandai Vibration Stars,Figure,3,89.97,-13.47,0.0,76.5,5.94,82.44
JoJo's Bizarre Adventure - Joseph Joestar Action Statue WF Limited Figure,Figure,1,89.99,-13.49,0.0,76.5,5.93,82.43
B-Side Stickers (Misc),Sticker,14,83.86,-12.55,0.0,71.31,5.55,76.86
Evangelion - Mini Figure Desktop Eva(1 piece),Figure,5,89.95,-18.88,0.0,71.07,5.51,76.58
Hatsune Miku - Nendoroid Figure Date Outfit Ver,Figure,1,79.99,-11.99,0.0,68.0,5.27,73.27
Hatsune Miku - Pop Up Parade: Because You’Re Here Ver. L Figure,Figure,1,79.99,-12.0,0.0,67.99,5.27,73.26
The Apothecary Diaries - Maomao Pop Up Parade Figure,Figure,1,69.99,-10.49,0.0,59.5,4.62,64.12
Overlord - Desktop Cute Albedo (Chinese Dress Ver.) Figure,Figure,2,67.98,-10.19,0.0,57.79,4.46,62.25
SMISKI Figure (Series 1) (1 piece),Accessories,5,64.95,-9.71,0.0,55.24,4.3,59.54
Ichiban Kuji - Dragon Ball Daima,Ichiban Kuji,3,54.0,0.0,0.0,54.0,4.2,58.2
Hololive Production - Inugami Korone #1861,Figure,1,59.99,-8.99,0.0,51.0,3.96,54.96
One Piece Kuji ($9.99)(Promo $2.99),Kuji,17,50.83,0.0,0.0,50.83,3.91,54.74
Solo Leveling - Sung Jin-Woo - ESPRESTO-Excite Motions-vol.1,Figure,1,57.99,-8.7,0.0,49.29,3.82,53.11
Ichiban Kuji - Honkai: Star Rail,Kuji,3,54.0,-1.8,0.0,52.2,0.0,52.2
Pokemon - Mini Figure (Bonsai2 ) Blind Box (1 piece),Figure,3,56.97,-8.54,0.0,48.43,3.75,52.18
Misc One Piece WANTED Poster,Poster,4,51.96,-7.12,0.0,44.84,3.49,48.33
Pokemon Card - Paradise Dragon Expansion (Trading Card Game)(1 pack),Cards,13,63.84,-8.96,-10.77,44.11,3.41,47.52
Yu-Gi-Oh! - Mini Figure Desctop Collection (1 piece),Figure,3,50.97,-7.63,0.0,43.34,3.36,46.7
Jujutsu Kaisen - Look Up Satoru Gojo Suit Ver. Complete Figure,Figure,1,49.99,-7.5,0.0,42.49,3.29,45.78
Solo Leveling - Sung Jin-Woo - Trio-Try-iT Figure,Figure,1,44.99,-6.74,0.0,38.25,2.97,41.22
Wandering Witch: The Journey of Elaina - AMP+ Elaina (Witch Dress Ver.) Prize Figure,Figure,1,44.99,-6.74,0.0,38.25,2.97,41.22
Goddess of Victory: NIKKE - Collection Figure RICH BOX ver. (1 piece),Figure,6,41.94,-6.27,0.0,35.67,2.76,38.43
Ghibli - Collection Plush Keychain Set (6 pieces),Accessories,2,39.98,-5.98,0.0,34.0,2.64,36.64
Hololive - IF Relax time - Suisei Hoshimachi,Figure,1,39.99,-5.99,0.0,34.0,2.64,36.64
"Jujutsu Kaisen - Luminasta: Satoru Gojo ""Strong Duo""",Figure,1,39.99,-6.0,0.0,33.99,2.63,36.62
Frieren: Beyond Journey’s End - Frieren - Luminasta Figure,Figure,1,39.99,-6.0,0.0,33.99,2.63,36.62
Pokemon - Circular Diorama Collection (1 piece),Figure,2,39.98,-5.99,0.0,33.99,2.63,36.62
Tokyo Ghoul - Ken Kaneki POP UP PARADE Figure,Figure,1,39.99,-6.0,0.0,33.99,2.63,36.62
Jujutsu Kaisen - Rubber Keychain Buddy Collection Vol. 2（1 piece),Keychain,4,39.96,-5.97,0.0,33.99,2.63,36.62
Mobile Suit Gundam - Artifact 5 Model Kit,Blind Box,4,39.96,-5.99,0.0,33.97,2.63,36.6
Pokemon Card - Stella Miracle Expansion Pack (Trading Card Game)(1 pack),Cards,10,51.87,-7.13,-10.77,33.97,2.6,36.57
Pokemon - Poket Statue -Dragon Type (1 piece),Blind Box,2,37.98,-5.69,0.0,32.29,2.5,34.79
Re-Ment Kirby - Kirby In Pop City!! (1 piece),Figure,2,37.98,-5.7,0.0,32.28,2.5,34.78
Re:ZERO - Starting Life In Another World- Rem POP UP PARADE Ice Season Ver.,Figure,1,35.99,-5.4,0.0,30.59,2.38,32.97
Bocchi the Rock! - Hitori Goto & Glowing Tsuchinoko Bocchi,Figure,1,29.99,0.0,0.0,29.99,2.32,32.31
Laid-Back Camp Season 3 - Nadeshiko Kagamihara Non-Scale Figure,Figure,1,32.99,-4.94,0.0,28.05,2.17,30.22
Hatsune Miku - Hatsune Miku Bunny Ear Pajama Noodle Stopper Figure - FuRyu,Figure,1,32.99,-4.94,0.0,28.05,2.17,30.22
Hatsune Miku - Hatsune Miku Flower Fairy Cosmos Figure - Noodle Stopper,Figure,1,32.99,-4.95,0.0,28.04,2.17,30.21
Dandadan - Momo Casual Ver. - Luminasta Figure,Figure,1,32.99,-4.95,0.0,28.04,2.17,30.21
ONE PIECE - CARD GAME - Two Legends (1 pack),Cards,8,31.92,-3.99,0.0,27.93,2.16,30.09
HUNTER×HUNTER - Killua II - Vibration Stars Figure,Figure,1,29.99,-2.99,0.0,27.0,2.1,29.1
HUNTER×HUNTER - Gon - Vibration Stars Figure,Figure,1,29.99,-3.0,0.0,26.99,2.09,29.08
Misc Single Stickers ($2.99),Sticker,10,29.9,-3.58,0.0,26.32,2.04,28.36
Hatsune Miku - Bicute Bunnies -White Rabbit Baby Pink- Figure,Figure,1,29.99,-4.5,0.0,25.49,1.97,27.46
Bocchi The Rock! - Desktop X Decorate Collections Hitori Goto,Figure,1,29.99,-4.5,0.0,25.49,1.97,27.46
Nikke Goddess Of Victory - Medal Collection Vol. 1,Accessories,2,29.98,-4.5,0.0,25.48,1.97,27.45
Goddess of Victory: NIKKE -Union Arena (Trading Card Game)(1 pack),Cards,3,29.97,-4.49,0.0,25.48,1.96,27.44
ONE PIECE - CARD GAME - 500 Years into the Future (1 pack),Cards,10,29.9,-4.49,0.0,25.41,1.98,27.39
Hololive - Blooming Radiance Booster Pack (Trading Card Game) (1 pack),Cards,4,27.96,-4.17,0.0,23.79,1.84,25.63
Bocchi the Rock! - Bocchi-chan Full of Figures BOX ver. (1 piece),Figure,4,27.96,-4.19,0.0,23.77,1.84,25.61
Pokemon Card - Expansion Pack - Ancient Roar (1 pack),Cards,7,39.9,-5.36,-10.78,23.76,1.83,25.59
"Hatsune Miku - Chubby Collection more plus 4.3"" Figure 2-Color Set",Figure,1,26.99,-4.04,0.0,22.95,1.78,24.73
Jujutsu Kaisen - Fushiguro Megumi vol.2 Prize Figure,Figure,1,26.99,-4.05,0.0,22.94,1.78,24.72
Pokémon - Japanese Window Figure (1 piece),Figure,2,25.98,-3.88,0.0,22.1,1.72,23.82
Misc Acrylic Keychain($12.99),Accessories,2,25.98,-3.89,0.0,22.09,1.72,23.81
Date A Live- Kurumi Tokisaki Casual Outfit Ver,Figure,1,24.99,-3.74,0.0,21.25,1.65,22.9
Ghibli - My Neighbor Totoro: Roly-Poly Figure (Medium): Chu Totoro,Figure,1,24.99,-3.75,0.0,21.24,1.64,22.88
